"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Diagnostics & Research","USA",38712.17,31.35,132.68,1.43%,91652
2,"AA","Alcoa Corp","Basic Materials","Aluminum","USA",7065.88,,39.35,0.44%,975278
3,"AAA","Alternative Access First Priority CLO Bond ETF","Financial","Exchange Traded Fund","USA",,,25.08,-0.14%,582
4,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,23.84,-0.14%,208781
5,"AACG","ATA Creativity Global ADR","Consumer Defensive","Education & Training Services","China",26.23,,0.83,4.24%,1391
6,"AACI","Armada Acquisition Corp I","Financial","Shell Companies","USA",82.49,,11.57,0.78%,18847
7,"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",668.12,28.67,10.69,0.05%,23
8,"AADI","Aadi Bioscience Inc","Healthcare","Biotechnology","USA",38.31,,1.56,4.02%,8725
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,63.67,0.66%,4
10,"AAGR","African Agriculture Holdings Inc","Consumer Defensive","Farm Products","USA",10.50,,0.18,-2.84%,136362
11,"AAL","American Airlines Group Inc","Industrials","Airlines","USA",6967.68,17.80,10.62,-1.03%,6779515
12,"AAMC","Altisource Asset Management Corp","Financial","Mortgage Finance","USA",5.07,0.05,1.99,0.00%,0
13,"AAME","Atlantic American Corp.","Financial","Insurance - Life","USA",34.68,,1.70,7.59%,407
14,"AAN","Aarons Company Inc","Industrials","Rental & Leasing Services","USA",314.73,,9.98,0.25%,42655
15,"AAOI","Applied Optoelectronics Inc","Technology","Communication Equipment","USA",362.25,,9.31,0.87%,203512
16,"AAON","AAON Inc.","Industrials","Building Products & Equipment","USA",7291.55,41.90,90.18,1.81%,32506
17,"AAP","Advance Auto Parts Inc","Consumer Cyclical","Specialty Retail","USA",3756.06,90.95,63.00,2.06%,175581
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","Financial","Exchange Traded Fund","USA",,,30.20,2.51%,91942
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","Financial","Exchange Traded Fund","USA",,,16.67,-1.16%,65977
20,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",3533436.55,35.83,230.43,1.26%,12783726
21,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","Financial","Exchange Traded Fund","USA",,,25.50,0.00%,0
22,"AAPU","Direxion Daily AAPL Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,38.72,2.47%,507311
23,"AAPX","T-Rex 2X Long Apple Daily Target ETF","Financial","Exchange Traded Fund","USA",,,35.22,2.74%,11055
24,"AAPY","Kurv Yield Premium Strategy Apple (AAPL) ETF","Financial","Exchange Traded Fund","USA",,,27.68,0.88%,71
25,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1442.79,26.67,23.69,2.18%,16215
26,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,75.56,0.75%,94594
27,"AB","AllianceBernstein Holding Lp","Financial","Asset Management","USA",3887.23,13.95,33.76,-0.63%,36454
28,"ABAT","American Battery Technology Company","Basic Materials","Other Industrial Metals & Mining","USA",64.17,,1.10,-0.45%,93078
29,"ABBV","Abbvie Inc","Healthcare","Drug Manufacturers - General","USA",302996.82,51.09,171.59,0.99%,344396
30,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3838.37,13.54,55.54,2.13%,36053
31,"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",946.84,,3.22,2.88%,342452
32,"ABCS","Alpha Blue Capital US Small-Mid Cap Dynamic ETF","Financial","Exchange Traded Fund","USA",,,26.77,1.21%,700
33,"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",224.87,,5.49,5.78%,154013
34,"ABEQ","Absolute Select Value ETF","Financial","Exchange Traded Fund","USA",,,30.84,0.32%,114
35,"ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil",33621.34,11.50,2.13,-0.23%,2375341
36,"ABG","Asbury Automotive Group Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4985.22,9.01,247.16,1.48%,15995
37,"ABIO","ARCA biopharma Inc","Healthcare","Biotechnology","USA",48.32,,3.33,0.30%,1892
38,"ABL","Abacus Life Inc","Financial","Insurance - Life","USA",641.58,302.49,8.50,-0.23%,8221
39,"ABLV","Able View Global Inc","Communication Services","Advertising Agencies","China",49.84,,1.19,0.00%,2
40,"ABM","ABM Industries Inc.","Industrials","Specialty Business Services","USA",3229.00,13.45,51.45,1.78%,25288
41,"ABNB","Airbnb Inc","Consumer Cyclical","Travel Services","USA",92915.18,19.61,146.36,0.25%,391417
42,"ABNY","YieldMax ABNB Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,20.17,0.87%,1160
43,"ABOS","Acumen Pharmaceuticals Inc","Healthcare","Biotechnology","USA",174.83,,2.91,11.07%,239383
44,"ABR","Arbor Realty Trust Inc.","Real Estate","REIT - Mortgage","USA",2975.63,9.83,15.78,1.64%,634170
45,"ABSI","Absci Corp","Healthcare","Biotechnology","USA",483.98,,4.28,6.20%,536599
46,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",182469.79,32.67,104.89,0.68%,486884
47,"ABTS","Abits Group Inc","Financial","Capital Markets","Hong Kong",17.78,,0.50,10.89%,1778
48,"ABUS","Arbutus Biopharma Corp","Healthcare","Biotechnology","USA",686.00,,3.63,3.56%,188186
49,"ABVC","ABVC BioPharma Inc","Healthcare","Biotechnology","USA",9.64,,0.80,-2.43%,6287
50,"ABVE","Above Food Ingredients Inc.","Consumer Defensive","Farm Products","Canada",17.36,,2.17,-3.71%,1810218
51,"ABVX","Abivax ADR","Healthcare","Biotechnology","France",858.23,,13.64,2.17%,17396
52,"AC","Associated Capital Group Inc","Financial","Asset Management","USA",634.16,19.06,29.62,-1.46%,4709
53,"ACA","Arcosa Inc","Industrials","Engineering & Construction","USA",4263.38,30.11,87.76,2.92%,18195
54,"ACAB","Atlantic Coastal Acquisition Corp II","Financial","Shell Companies","USA",94.36,,11.55,7.44%,17
55,"ACAC","Acri Capital Acquisition Corp","Financial","Shell Companies","USA",45.54,100.61,11.47,0.88%,201
56,"ACAD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2967.35,,17.96,1.76%,280114
57,"ACB","Aurora Cannabis Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",325.12,,5.96,-2.61%,611660
58,"ACCD","Accolade Inc","Healthcare","Health Information Services","USA",281.64,,3.52,2.93%,176864
59,"ACCO","Acco Brands Corporation","Industrials","Business Equipment & Supplies","USA",455.29,,4.76,1.94%,40511
60,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",1277.81,,7.99,0.12%,57639
61,"ACEL","Accel Entertainment Inc","Consumer Cyclical","Gambling","USA",877.28,20.66,10.48,1.70%,14704
