"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",280.11,,7.55,187.07%,264527878
2,"AUGX","Augmedix Inc","Healthcare","Health Information Services","USA",110.67,,2.26,146.62%,23975113
3,"PSNL","Personalis Inc","Healthcare","Diagnostics & Research","USA",199.97,,3.85,57.14%,22766810
4,"HE","Hawaiian Electric Industries, Inc.","Utilities","Utilities - Regulated Electric","USA",1931.35,10.33,17.51,37.33%,23382520
5,"RR","Richtech Robotics Inc.","Industrials","Specialty Industrial Machinery","USA",97.37,,1.47,22.50%,6773633
6,"MEGL","Magic Empire Global Ltd","Financial","Capital Markets","Hong Kong",12.46,,0.61,17.42%,1088264
7,"IOBT","IO Biotech Inc","Healthcare","Biotechnology","Denmark",104.09,,1.58,14.49%,1734749
8,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",26.49,,1.41,4.44%,45538868
9,"AWP","abrdn Global Premier Properties Fund","Financial","Closed-End Fund - Foreign","USA",357.01,,4.18,4.24%,3289376
10,"IGD","Voya Global Equity Dividend and Premium Opportunity Fund","Financial","Closed-End Fund - Foreign","USA",435.35,13.80,5.52,2.41%,2606992
11,"AVK","Advent Convertible and Income Fund","Financial","Closed-End Fund - Debt","USA",438.99,11.64,12.69,2.01%,1206817
12,"IGR","CBRE Global Real Estate Income Fund","Financial","Closed-End Fund - Foreign","USA",803.42,6.83,5.74,1.95%,4594016
13,"FAX","abrdn Asia-Pacific Income Fund Inc","Financial","Closed-End Fund - Debt","USA",700.98,47.17,2.83,1.80%,5346511
14,"ZTR","Virtus Total Return Fund Inc.","Financial","Closed-End Fund - Equity","USA",354.28,,5.74,1.77%,2241941
15,"EQT","EQT Corp","Energy","Oil & Gas E&P","USA",15844.25,26.17,35.88,1.50%,66338945
16,"BRW","Saba Capital Income & Opportunities Fund","Financial","Closed-End Fund - Equity","USA",311.32,22.88,7.32,1.31%,1521162
17,"LODE","Comstock Inc","Basic Materials","Other Precious Metals & Mining","USA",23.46,2.50,0.17,1.19%,12526335
18,"FRA","Blackrock Floating Rate Income Strategies Fund Inc","Financial","Closed-End Fund - Debt","USA",476.69,7.64,13.53,1.12%,1159394
19,"HOLI","Hollysys Automation Technologies Ltd","Industrials","Electrical Equipment & Parts","China",1643.32,21.80,26.42,0.76%,2941004
20,"HQH","abrdn Healthcare Investors","Financial","Closed-End Fund - Equity","USA",897.88,14.18,18.57,0.76%,1077558
21,"BMEZ","BlackRock Health Sciences Term Trust","Financial","Closed-End Fund - Equity","USA",1672.27,21.51,15.70,0.71%,1264480
22,"ETRN","Equitrans Midstream Corporation","Energy","Oil & Gas Midstream","USA",5426.79,13.96,12.42,0.57%,194273144
23,"FTF","Franklin Limited Duration Income Trust","Financial","Closed-End Fund - Debt","USA",264.25,7.88,6.54,0.46%,1546928
24,"GTES","Gates Industrial Corporation plc","Industrials","Specialty Industrial Machinery","USA",4519.26,18.96,17.29,0.35%,36627788
